mean_response_time,time
1.6321115,252689.7
1.5397083,254226.78
1.5628086,255786.97
1.5012041,257285.53
1.4396094,258722.47
1.4396062,260159.4
1.3010031,261457.69
1.6167095,263079.78
1.6321071,264722.22
1.5782105,266310.84
1.3703061,267691.9
1.4550085,269157.53
1.4935058,270661.6
1.3318032,272004.22
1.5397063,273554.4
1.4781059,275043.1
1.6475132,276700.9
1.4319038,278143.47
1.4627075,279616.78
1.4704075,281097.78
1.6321101,282740.22
1.3934051,284144.34
1.3857048,285540.78
1.3857033,286937.22
1.5320083,288479.72
1.5166075,290006.84
1.5320102,291549.34
1.362604,292922.72
1.5012087,294434.47
1.5474088,295992.34
1.4550064,297457.97
1.2702019,298739.1
1.5551099,300304.66
1.4550056,301770.28
1.5551087,303335.84
1.1854992,304532.4
1.5089072,306051.84
1.4781091,307540.53
1.4165081,308967.72
1.3472039,310325.72
1.3549021,311691.4
1.4396099,313141.66
1.5166103,314668.78
1.3087033,315988.34
1.3087016,317307.9
1.3087049,318627.47
1.3395071,319977.78
1.6552103,321643.28
1.3318053,322985.9
1.4704093,324466.9
1.3010073,325778.78
1.3472018,327136.78
1.5705086,328717.72
1.4781108,330206.4
1.3087023,331525.97
1.4396076,332976.22
1.4396062,334426.47
1.3087053,335746.03
1.3780046,337134.78
1.3318003,338477.4
1.4396051,339927.66
1.285604,341224.16
1.4396033,342674.4
1.3857049,344070.84
1.3626063,345444.22
1.2085989,346663.84
1.2933028,347968.03
1.3472034,349326.03
1.3626084,350699.4
1.3857027,352095.84
1.4242039,353530.72
1.4242058,354965.6
1.3549068,356331.28
1.3318037,357673.9
1.4242065,359108.78
1.2625005,360382.22
1.3472041,361740.22
1.4011048,363152.03
1.2625016,364425.47
1.2086008,365645.1
1.2856045,366941.6
1.3318039,368284.22
1.2702007,369565.34
1.3780049,370954.1
1.2625011,372227.53
1.2548001,373493.28
1.1777984,374682.16
1.2317027,375924.84
1.3010021,377236.72
1.2394042,378487.1
1.1854982,379683.66
1.170098,380864.84
1.293301,382169.03
1.2625008,383442.47
1.3318038,384785.1
1.4396074,386235.34
1.1315984,387378.1
1.3549037,388743.78
1.2779009,390032.6
1.2856032,391329.1
1.2470994,392587.16
1.2625016,393860.6
1.1854981,395057.16
1.2779016,396345.97
1.4396076,397796.22
1.493507,399300.28
1.3934033,400704.4
1.4473083,402162.34
1.5089064,403681.78
1.3549044,405047.47
1.4011072,406459.28
1.2779022,407748.1
1.4396085,409198.34
1.3241048,410533.28
1.3780082,411922.03
1.4704099,413403.03
1.3395039,414753.34
1.3780044,416142.1
1.4704063,417623.1
1.4319057,419065.66
1.3241025,420400.6
1.3549031,421766.28
1.2394001,423016.66
1.3395039,424366.97
1.4165058,425794.16
1.347202,427152.16
1.5012088,428663.9
1.4550059,430129.53
1.401102,431541.34
1.2624998,432814.78
1.4011058,434226.6
1.5012088,435738.34
